title,year,time,genres,links,rating,thumb,plot,director,stars,new_links,movieId
Finding Nemo,2003,1h 40m,"Animation, Adventure, Comedy",tt0266543,8.1,"https://m.media-amazon.com/images/M/MV5BZjMxYzBiNjUtZDliNC00MDAyLTg3N2QtOWNjNmNhZGQzNDg5XkEyXkFqcGdeQXVyNjE2MjQwNjc@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","
                    After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.
            ",Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould",266543,6377
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,"Action, Adventure, Fantasy",tt0325980,8.0,"https://m.media-amazon.com/images/M/MV5BNGYyZGM5MGMtYTY2Ni00M2Y1LWIzNjQtYWUzM2VlNGVhMDNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.
            ",Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom",325980,6539
Tôkyô monogatari,1953,2h 16m,Drama,tt0046438,8.2,"https://m.media-amazon.com/images/M/MV5BYWQ4ZTRiODktNjAzZC00Nzg1LTk1YWQtNDFmNDI0NmZiNGIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","
                    An old couple visit their children and grandchildren in the city; but the children have little time for them.
            ",Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura",46438,6643
Ikiru,1952,2h 23m,Drama,tt0044741,8.3,"https://m.media-amazon.com/images/M/MV5BMTliYThjNGEtYTRiMy00MWMzLTgyNzEtYTU3NTU3M2YwMTNjXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","
                    A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
            ",Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",44741,6669
Paper Moon,1973,1h 42m,"Comedy, Drama",tt0070510,8.1,"https://m.media-amazon.com/images/M/MV5BOWVmYzQwY2MtOTBjNi00MDNhLWI5OGMtN2RiMDYxODI3MjU5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.
            ",Peter Bogdanovich,"Ryan O'Neal, Tatum O'Neal, Madeline Kahn",70510,6724
Judgment at Nuremberg,1961,3h 6m,"Drama, War",tt0055031,8.2,"https://m.media-amazon.com/images/M/MV5BZDZjMTIwZTQtNTM3OS00OTUyLWI5MTMtOTNjYWVkNzhjMWIxXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In 1948, an American court in occupied Germany tries four Nazi judges for war crimes.
            ",Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark",55031,6777
Idi i smotri,1985,2h 22m,"Drama, War",tt0091251,8.2,"https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.
            ",Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius",91251,6818
Kill Bill: Vol. 1,2003,1h 51m,"Action, Crime, Thriller",tt0266697,8.1,"https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.
            ",Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah",266697,6874
La passion de Jeanne d'Arc,1928,1h 50m,"Biography, Drama, History",tt0019254,8.2,"https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.
            ",Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley",19254,6985
Kaze no tani no Naushika,1984,1h 57m,"Animation, Adventure, Fantasy",tt0087544,8.1,"https://m.media-amazon.com/images/M/MV5BODJiNmUzYmQtZTNhNS00NjY0LThmYjMtOTliOTM1NTdkYzY1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","
                    Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
            ",Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda",87544,7099
Les diaboliques,1955,1h 57m,"Crime, Drama, Horror",tt0046911,8.1,"https://m.media-amazon.com/images/M/MV5BMGJmNmU5OTAtOTQyYy00MmM3LTk4MzUtMGFiZDYzODdmMmU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR9,0,182,268_AL__QL50.jpg","
                    The wife and mistress of a loathed school principal hatch a plan to murder him while having the perfect alibi. They carry out the plan...but then his body disappears.
            ",Henri-Georges Clouzot,"Simone Signoret, Véra Clouzot, Paul Meurisse",46911,7116
The Lord of the Rings: The Return of the King,2003,3h 21m,"Adventure, Drama, Fantasy",tt0167260,8.9,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
            ",Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen",167260,7153
Persona,1966,1h 25m,"Drama, Thriller",tt0060827,8.1,"https://m.media-amazon.com/images/M/MV5BMTM0YzExY2EtMjUyZi00ZmIwLWFkYTktNjY5NmVkYTdkMjI5XkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","
                    A nurse is put in charge of a mute actress and finds that their personae are melding together.
            ",Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook",60827,7327
Eternal Sunshine of the Spotless Mind,2004,1h 48m,"Drama, Romance, Sci-Fi",tt0338013,8.3,"https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.
            ",Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson",338013,7361
Le salaire de la peur,1953,2h 11m,"Adventure, Drama, Thriller",tt0046268,8.1,"https://m.media-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","
                    In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.
            ",Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck",46268,7700
Sunrise: A Song of Two Humans,1927,1h 34m,"Drama, Romance",tt0018455,8.2,"https://m.media-amazon.com/images/M/MV5BNDVkYmYwM2ItNzRiMy00NWQ4LTlhMjMtNDI1ZDYyOGVmMzJjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
            ",F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston",18455,8125
Before Sunset,2004,1h 20m,"Drama, Romance",tt0381681,8.1,"https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.
            ",Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff",381681,8638
Sherlock Jr.,1924,45m,"Action, Comedy, Romance",tt0015324,8.2,"https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.
            ",Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton",15324,25750
Andrei Rublev,1966,3h 25m,"Biography, Drama, History",tt0060107,8.2,"https://m.media-amazon.com/images/M/MV5BMjhkN2Q3MzctNzJiOC00OTc5LWIwOWYtNWRiYWUyMDk0MGZiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    The life, times and afflictions of the fifteenth-century Russian iconographer.
            ",Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko",60107,26150
Oldeuboi,2003,1h 41m,"Action, Drama, Mystery",tt0364569,8.4,"https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.
            ",Chan-wook Park,"Min-sik Choi, Ji-tae Yu, Hye-jeong Kang",364569,27773
Million Dollar Baby,2004,2h 12m,"Drama, Sport",tt0405159,8.1,"https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A determined woman works with a hardened boxing trainer to become a professional.
            ",Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman",405159,30707
Hotel Rwanda,2004,2h 1m,"Biography, Drama, History",tt0395169,8.1,"https://m.media-amazon.com/images/M/MV5BZGJjYmIzZmQtNWE4Yy00ZGVmLWJkZGEtMzUzNmQ4ZWFlMjRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.
            ",Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix",395169,30749
Salinui chueok,2003,2h 11m,"Action, Crime, Drama",tt0353969,8.1,"https://m.media-amazon.com/images/M/MV5BZWYyYTk5ODQtNjFjZi00ZDFlLWEwNGEtNGQwZTdmYWRhNmU3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.
            ",Joon-ho Bong,"Kang-ho Song, Sang-kyung Kim, Roe-ha Kim",353969,31364
Der Untergang,2004,2h 36m,"Biography, Drama, History",tt0363163,8.2,"https://m.media-amazon.com/images/M/MV5BZDFmNzI3YmItMTMyMy00YjE1LTliYTgtN2Q4M2QzZDE5MTlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.
            ",Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes",363163,31410
Hauru no ugoku shiro,2004,1h 59m,"Animation, Adventure, Family",tt0347149,8.2,"https://m.media-amazon.com/images/M/MV5BMjZmNWZmZDMtMjcyZS00NGYwLTlkZmYtZDA0YzAyN2RiNzM0XkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.
            ",Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin",347149,31658
Batman Begins,2005,2h 20m,"Action, Adventure, Thriller",tt0372784,8.3,"https://m.media-amazon.com/images/M/MV5BZmUwNGU2ZmItMmRiNC00MjhlLTg5YWUtODMyNzkxODYzMmZlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR9,0,182,268_AL__QL50.jpg","
                    After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.
            ",Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe",372784,33794
V for Vendetta,2005,2h 12m,"Action, Drama, Sci-Fi",tt0434409,8.2,"https://m.media-amazon.com/images/M/MV5BYzllMjJkODAtYjMwMi00YmNhLWFhYzAtZjZjODg5YzEwOGUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","
                    In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.
            ",James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves",434409,44191
The Lives of Others,2006,2h 17m,"Drama, Thriller",tt0405094,8.4,"https://m.media-amazon.com/images/M/MV5BNDUzNjYwNDYyNl5BMl5BanBnXkFtZTcwNjU3ODQ0MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.
            ",Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch",405094,44555
Pan's Labyrinth,2006,1h 58m,"Drama, Fantasy, War",tt0457430,8.2,"https://m.media-amazon.com/images/M/MV5BMTU3ODg2NjQ5NF5BMl5BanBnXkFtZTcwMDEwODgzMQ@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","
                    In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.
            ",Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López",457430,48394
The Departed,2006,2h 31m,"Crime, Drama, Thriller",tt0407887,8.5,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
            ",Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",407887,48516
The Prestige,2006,2h 10m,"Drama, Mystery, Sci-Fi",tt0482571,8.5,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.
            ",Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson",482571,48780
Babam ve Oglum,2005,1h 48m,"Drama, Family",tt0476735,8.4,"https://m.media-amazon.com/images/M/MV5BNjAzMzEwYzctNjc1MC00Nzg5LWFmMGItMTgzYmMyNTY2OTQ4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","
                    The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.
            ",Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra",476735,51167
Rang De Basanti,2006,2h 37m,"Comedy, Drama",tt0405508,8.2,"https://m.media-amazon.com/images/M/MV5BM2I3OGU1YmQtNjIyOC00OGYzLWFkOTgtOGIyMDVlNmE2M2VmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","
                    The story of six young Indians who assist an English Woman to film a documentary on the extremist freedom fighters from their past, and the events that lead them to relive the long forgotten saga of freedom.
            ",Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth",405508,55098
Into the Wild,2007,2h 28m,"Adventure, Biography, Drama",tt0758758,8.1,"https://m.media-amazon.com/images/M/MV5BMTAwNDEyODU1MjheQTJeQWpwZ15BbWU2MDc3NDQwNw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.
            ",Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener",758758,55247
No Country for Old Men,2007,2h 2m,"Crime, Drama, Thriller",tt0477348,8.1,"https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","
                    Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
            ",Ethan Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin",477348,55820
There Will Be Blood,2007,2h 38m,Drama,tt0469494,8.2,"https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.
            ",Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds",469494,56782
Taare Zameen Par,2007,2h 45m,"Drama, Family",tt0986264,8.4,"https://m.media-amazon.com/images/M/MV5BNTVmYTk2NjAtYzY3MS00YjFjLTlkYzktYzg3YzMyZDQyOWRiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","
                    An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.
            ",Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra",986264,57183
The Dark Knight,2008,2h 32m,"Action, Crime, Drama",tt0468569,9.0,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.
            ",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",468569,58559
WALL·E,2008,1h 38m,"Animation, Adventure, Family",tt0910970,8.4,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
            ",Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin",910970,60069
Eskiya,1996,2h 8m,"Crime, Drama, Thriller",tt0116231,8.3,"https://m.media-amazon.com/images/M/MV5BOGQ4ZjFmYjktOGNkNS00OWYyLWIyZjgtMGJjM2U1ZTA0ZTlhXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","
                    Baran the Bandit, released from prison after 35 years searches for vengeance and his lover.
            ",Yavuz Turgul,"Sener Sen, Ugur Yücel, Sermin Hürmeriç",116231,66302
Inglourious Basterds,2009,2h 33m,"Adventure, Drama, War",tt0361748,8.3,"https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
            ",Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth",361748,68157
Mary and Max,2009,1h 32m,"Animation, Comedy, Drama",tt0978762,8.1,"https://m.media-amazon.com/images/M/MV5BMDgzYjQwMDMtNGUzYi00MTRmLWIyMGMtNjE1OGZkNzY2YWIzL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","
                    A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.
            ",Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana",978762,71899
How to Train Your Dragon,2010,1h 38m,"Animation, Action, Adventure",tt0892769,8.1,"https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.
            ",Dean DeBlois,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse",892769,76093
Toy Story 3,2010,1h 43m,"Animation, Adventure, Comedy",tt0435761,8.3,"https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","
                    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.
            ",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack",435761,78499
The Wolf of Wall Street,2013,3h   ,"Biography, Comedy, Crime",tt0993846,8.2,"https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.
            ",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie",993846,106782
Interstellar,2014,2h 49m,"Adventure, Drama, Sci-Fi",tt0816692,8.6,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
            ",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",816692,109487
